update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
30,28480,114.1747562822247,158,-142.7567276954651,138.00665253563466,-431.12823486328125,-36.85717010498047,229.0,10.5,208.0,235.0,8.868987202644348,-25.7790584564209,14.292304277420044,1750.7435760498047,129.2180646451314,-142.7567276954651,138.00665253563466,-431.12823486328125,-36.85717010498047
31,29504,122.41770904928286,166,-96.1856175661087,87.15815289959477,-320.6612243652344,-15.146943092346191,232.375,6.9450971915445505,214.0,235.0,8.567035436630249,-26.083380222320557,-2.5663438737392426,100.68707466125488,58.56028082012321,-96.1856175661087,87.15815289959477,-320.6612243652344,-15.146943092346191
32,30528,124.86380935200714,174,-58.993250608444214,26.489875347345205,-82.02412414550781,-13.028416633605957,235.0,0.0,235.0,235.0,8.780348539352417,-23.95842933654785,-3.0695290118455887,71.24569988250732,38.504183579077434,-58.993250608444214,26.489875347345205,-82.02412414550781,-13.028416633605957
33,31552,118.18704090554802,183,-51.87419879436493,22.98751268928337,-82.02412414550781,-13.028416633605957,235.0,0.0,235.0,235.0,9.044973492622375,-21.62608766555786,-2.7218091934919357,131.30564308166504,30.316107575431374,-51.87419879436493,22.98751268928337,-82.02412414550781,-13.028416633605957
34,32576,123.97962608095108,191,-36.07806873321533,32.365735553698926,-61.94879913330078,39.55036926269531,235.0,0.0,235.0,235.0,8.718242049217224,-23.47604274749756,0.7045647613704205,71.82802963256836,51.12784090990232,-36.07806873321533,32.365735553698926,-61.94879913330078,39.55036926269531
35,33600,119.88162070132148,200,-49.544666051864624,37.317782477222885,-81.42154693603516,39.55036926269531,235.0,0.0,235.0,235.0,8.729896068572998,-23.049655437469482,-5.75312614440918,77.26062393188477,56.53454072486238,-49.544666051864624,37.317782477222885,-81.42154693603516,39.55036926269531
36,34624,123.27059073668559,208,-65.32344627380371,15.153018986459937,-81.42154693603516,-35.60586929321289,235.0,0.0,235.0,235.0,8.846980690956116,-22.32900333404541,-0.4435724690556526,89.40801239013672,61.11180926998899,-65.32344627380371,15.153018986459937,-81.42154693603516,-35.60586929321289
37,35648,119.49471341068359,217,-57.2637243270874,15.153013491618118,-79.50740814208984,-35.60586929321289,235.0,0.0,235.0,235.0,8.43328332901001,-22.679603576660156,0.5657467674463987,42.626593589782715,61.45649284455926,-57.2637243270874,15.153013491618118,-79.50740814208984,-35.60586929321289
38,36672,117.95106363971082,225,-51.34679555892944,15.781704827598325,-74.19815826416016,-25.372600555419922,235.0,0.0,235.0,235.0,8.075849771499634,-23.506040573120117,-0.08904639165848494,115.5357837677002,26.19986146084195,-51.34679555892944,15.781704827598325,-74.19815826416016,-25.372600555419922
39,37696,89.82621947132297,237,-52.68193793296814,24.480663572853185,-77.33348083496094,3.5608081817626953,235.0,0.0,235.0,235.0,7.895705342292786,-23.934757709503174,-0.033577945083379745,70.05430507659912,63.36734641984827,-52.68193793296814,24.480663572853185,-77.33348083496094,3.5608081817626953
